epoch,time(s),train_loss,test_loss,test_error(%)
001,00062,0.836350,0.00051,16.62
002,00060,0.679720,0.00042,14.14
003,00060,0.580584,0.00034,11.30
004,00061,0.508093,0.00028,9.27
005,00050,0.489717,0.00028,9.36
006,00060,0.498460,0.00026,8.80
007,00050,0.389868,0.00026,8.97
008,00060,0.380948,0.00024,8.18
009,00060,0.376930,0.00023,7.87
010,00060,0.363606,0.00023,7.71
011,00059,0.322465,0.00022,7.29
012,00050,0.339560,0.00022,7.99
013,00050,0.349234,0.00024,8.25
014,00050,0.323385,0.00021,7.45
015,00051,0.309307,0.00021,7.38
016,00060,0.279241,0.00021,7.12
017,00050,0.271570,0.00021,7.37
018,00051,0.258870,0.00022,7.20
019,00060,0.251991,0.00021,6.85
020,00050,0.262511,0.00022,7.65
021,00050,0.239905,0.00021,7.12
022,00051,0.259505,0.00021,7.04
023,00050,0.218930,0.00021,6.96
024,00061,0.235797,0.00021,6.79
025,00050,0.221771,0.00021,6.98
026,00051,0.204946,0.00022,7.37
027,00050,0.219331,0.00021,7.33
028,00050,0.193945,0.00022,7.09
029,00051,0.182715,0.00023,7.19
030,00051,0.207265,0.00022,7.29
031,00050,0.187408,0.00023,7.04
032,00050,0.192311,0.00022,7.09
033,00050,0.164284,0.00024,7.27
034,00050,0.165613,0.00023,7.08
035,00050,0.168578,0.00023,7.04
036,00049,0.147371,0.00024,7.03
037,00050,0.189945,0.00023,7.04
038,00051,0.140983,0.00023,6.87
039,00051,0.131322,0.00024,7.01
040,00051,0.166924,0.00023,6.82
041,00051,0.132385,0.00025,6.94
042,00050,0.138504,0.00025,6.94
043,00060,0.124274,0.00024,6.62
044,00050,0.139400,0.00026,7.10
045,00051,0.126762,0.00026,7.17
046,00050,0.148158,0.00025,6.70
047,00051,0.122583,0.00025,6.96
048,00050,0.112304,0.00026,6.87
049,00051,0.102112,0.00026,6.95
050,00050,0.130187,0.00027,6.95
051,00051,0.095663,0.00028,7.04
052,00051,0.106751,0.00028,6.93
053,00051,0.135958,0.00028,6.82
054,00050,0.105585,0.00028,6.73
055,00050,0.101701,0.00028,6.94
056,00051,0.096620,0.00028,6.62
057,00050,0.081294,0.00028,6.83
058,00051,0.105053,0.00028,6.65
059,00059,0.064551,0.00029,6.60
060,00059,0.084928,0.00029,6.49
061,00051,0.093938,0.00029,6.74
062,00051,0.103562,0.00028,6.67
063,00050,0.093351,0.00030,6.91
064,00051,0.073126,0.00028,6.72
065,00051,0.072227,0.00030,6.94
066,00060,0.090154,0.00030,6.46
067,00051,0.086391,0.00031,6.75
068,00050,0.062066,0.00030,6.75
069,00050,0.080141,0.00031,6.74
070,00050,0.070416,0.00031,6.59
071,00051,0.096097,0.00031,6.56
072,00059,0.068924,0.00031,6.38
073,00050,0.070574,0.00031,6.56
074,00050,0.065685,0.00031,6.66
075,00051,0.066649,0.00031,6.46
076,00050,0.049218,0.00031,6.47
077,00051,0.051002,0.00032,6.55
078,00050,0.077457,0.00031,6.58
079,00050,0.050798,0.00032,6.60
080,00050,0.042433,0.00032,6.71
081,00051,0.070926,0.00032,6.64
082,00051,0.062958,0.00032,6.57
083,00051,0.059013,0.00032,6.49
084,00050,0.030751,0.00032,6.48
085,00050,0.063851,0.00032,6.49
086,00050,0.048935,0.00032,6.46
087,00050,0.060184,0.00032,6.53
088,00051,0.064528,0.00032,6.48
089,00051,0.048978,0.00032,6.59
090,00051,0.049816,0.00032,6.64
091,00050,0.043194,0.00032,6.55
092,00050,0.041782,0.00032,6.52
093,00050,0.067692,0.00032,6.52
094,00051,0.038531,0.00032,6.57
095,00051,0.034400,0.00032,6.61
096,00051,0.044321,0.00032,6.57
097,00051,0.041030,0.00032,6.56
098,00050,0.029623,0.00032,6.55
099,00050,0.051192,0.00032,6.56
100,00051,0.039611,0.00032,6.56
101,00000,0.000000,0.00000,12.77
