epoch,time(s),train_loss,test_loss,test_error(%)
001,00065,0.664132,0.00040,12.59
002,00057,0.571326,0.00033,10.13
003,00061,0.531497,0.00030,9.64
004,00057,0.466183,0.00029,9.46
005,00060,0.434623,0.00025,8.03
006,00049,0.458519,0.00026,8.55
007,00061,0.401148,0.00024,7.89
008,00061,0.363770,0.00023,7.88
009,00052,0.349643,0.00022,7.89
010,00060,0.364881,0.00022,7.34
011,00058,0.312237,0.00022,7.20
012,00059,0.300565,0.00021,6.99
013,00051,0.310726,0.00021,7.09
014,00053,0.343221,0.00021,7.12
015,00052,0.261550,0.00021,7.19
016,00061,0.249462,0.00021,6.95
017,00058,0.248941,0.00021,6.70
018,00052,0.286034,0.00021,6.98
019,00054,0.227707,0.00021,6.90
020,00050,0.249456,0.00022,7.25
021,00050,0.228380,0.00022,7.15
022,00050,0.256335,0.00021,6.89
023,00048,0.241155,0.00021,6.82
024,00049,0.215793,0.00022,7.16
025,00048,0.207410,0.00022,7.26
026,00052,0.223205,0.00021,7.05
027,00053,0.211238,0.00022,6.86
028,00052,0.202485,0.00022,6.81
029,00048,0.193285,0.00021,6.74
030,00050,0.194446,0.00024,7.18
031,00051,0.161042,0.00023,7.11
032,00050,0.164290,0.00022,7.03
033,00060,0.166116,0.00022,6.41
034,00049,0.172767,0.00023,6.86
035,00051,0.162262,0.00024,7.31
036,00049,0.163207,0.00024,7.13
037,00050,0.140640,0.00023,7.05
038,00052,0.151033,0.00023,6.84
039,00048,0.178604,0.00024,6.88
040,00049,0.131589,0.00025,7.22
041,00049,0.154513,0.00024,6.78
042,00048,0.141927,0.00024,6.58
043,00050,0.125306,0.00025,7.01
044,00052,0.133319,0.00026,7.16
045,00052,0.116107,0.00025,6.86
046,00052,0.122110,0.00026,6.92
047,00048,0.108765,0.00026,6.86
048,00052,0.092912,0.00025,6.66
049,00050,0.132581,0.00024,6.51
050,00053,0.101700,0.00027,6.71
051,00054,0.105962,0.00026,6.81
052,00051,0.092965,0.00027,6.73
053,00051,0.104260,0.00025,6.60
054,00051,0.107327,0.00026,6.51
055,00054,0.097506,0.00027,6.71
056,00054,0.104663,0.00028,6.66
057,00059,0.108487,0.00027,6.37
058,00052,0.089311,0.00027,6.50
059,00050,0.095664,0.00028,6.73
060,00050,0.117152,0.00028,6.46
061,00053,0.070305,0.00028,6.40
062,00051,0.075446,0.00028,6.66
063,00058,0.077082,0.00028,6.34
064,00050,0.093050,0.00028,6.34
065,00059,0.096130,0.00028,6.20
066,00051,0.091863,0.00028,6.32
067,00050,0.067420,0.00029,6.26
068,00049,0.059333,0.00030,6.38
069,00052,0.059174,0.00029,6.26
070,00059,0.069266,0.00029,6.15
071,00051,0.054777,0.00029,6.42
072,00049,0.056542,0.00029,6.19
073,00052,0.070002,0.00030,6.34
074,00051,0.069069,0.00030,6.50
075,00052,0.039816,0.00029,6.41
076,00049,0.049872,0.00029,6.30
077,00048,0.076035,0.00029,6.41
078,00053,0.034278,0.00030,6.41
079,00048,0.057662,0.00031,6.52
080,00049,0.045414,0.00030,6.21
081,00051,0.056212,0.00030,6.30
082,00051,0.039047,0.00030,6.20
083,00053,0.047436,0.00030,6.24
084,00050,0.039264,0.00030,6.15
085,00058,0.052548,0.00030,6.13
086,00059,0.046016,0.00030,6.08
087,00050,0.045574,0.00030,6.13
088,00052,0.054932,0.00030,6.14
089,00052,0.038813,0.00030,6.10
090,00053,0.029539,0.00030,6.15
091,00051,0.051562,0.00030,6.12
092,00050,0.047169,0.00030,6.18
093,00049,0.046698,0.00030,6.25
094,00048,0.034010,0.00030,6.18
095,00051,0.032716,0.00030,6.08
096,00052,0.039555,0.00030,6.11
097,00058,0.053991,0.00030,6.07
098,00051,0.046949,0.00030,6.08
099,00051,0.050012,0.00030,6.07
100,00051,0.059315,0.00030,6.08
101,00000,0.000000,0.00000,12.60
