epoch,time(s),train_loss,test_loss,test_error(%)
001,00057,2.213659,0.00208,71.93
002,00054,1.930844,0.00174,62.79
003,00054,1.750075,0.00153,53.87
004,00054,1.592460,0.00138,46.73
005,00055,1.508191,0.00127,43.24
006,00055,1.461889,0.00117,39.35
007,00054,1.354502,0.00109,36.90
008,00055,1.306246,0.00102,33.50
009,00056,1.308072,0.00103,33.41
010,00054,1.246812,0.00094,30.66
011,00054,1.163984,0.00090,30.23
012,00054,1.157617,0.00087,28.48
013,00055,1.141149,0.00083,27.13
014,00054,1.114734,0.00081,26.11
015,00055,1.126109,0.00080,25.49
016,00049,1.071332,0.00077,25.62
017,00055,1.031689,0.00075,24.44
018,00054,1.040608,0.00074,24.22
019,00055,1.038027,0.00072,23.28
020,00048,1.008249,0.00072,23.83
021,00054,1.020316,0.00070,22.64
022,00055,0.992945,0.00068,22.09
023,00055,0.959269,0.00067,21.84
024,00055,0.953503,0.00066,21.63
025,00055,0.950249,0.00066,21.55
026,00055,0.913297,0.00066,21.40
027,00054,0.932011,0.00064,20.85
028,00049,0.874512,0.00063,20.88
029,00055,0.903818,0.00062,20.64
030,00054,0.912147,0.00062,20.17
031,00049,0.877900,0.00061,20.17
032,00055,0.863130,0.00060,19.75
033,00055,0.906473,0.00060,19.40
034,00054,0.863683,0.00059,19.33
035,00054,0.882267,0.00059,19.17
036,00048,0.876826,0.00058,19.21
037,00054,0.860806,0.00058,18.88
038,00054,0.845986,0.00058,18.67
039,00055,0.844862,0.00057,18.40
040,00048,0.850860,0.00057,18.56
041,00049,0.837398,0.00057,18.51
042,00049,0.829418,0.00057,18.50
043,00054,0.818798,0.00056,18.27
044,00049,0.823506,0.00056,18.43
045,00054,0.814990,0.00055,18.08
046,00055,0.841943,0.00055,17.92
047,00054,0.821441,0.00055,17.80
048,00048,0.789038,0.00055,17.92
049,00053,0.817076,0.00055,17.36
050,00049,0.825424,0.00054,17.58
051,00049,0.823087,0.00054,17.61
052,00055,0.795093,0.00053,17.19
053,00049,0.810392,0.00054,17.22
054,00054,0.806916,0.00053,17.13
055,00048,0.811240,0.00053,17.17
056,00054,0.800545,0.00052,16.93
057,00055,0.777048,0.00052,16.85
058,00049,0.757592,0.00052,17.15
059,00048,0.781541,0.00052,17.07
060,00049,0.795158,0.00052,17.03
061,00054,0.776580,0.00051,16.60
062,00048,0.772701,0.00052,16.98
063,00048,0.754969,0.00052,16.93
064,00055,0.791688,0.00052,16.47
065,00048,0.732078,0.00051,16.60
066,00048,0.755816,0.00051,16.73
067,00054,0.790685,0.00051,16.39
068,00049,0.758013,0.00051,16.65
069,00054,0.748229,0.00051,16.37
070,00049,0.767316,0.00051,16.45
071,00048,0.767175,0.00050,16.43
072,00054,0.765982,0.00051,16.36
073,00048,0.792911,0.00050,16.57
074,00048,0.745097,0.00050,16.48
075,00054,0.779539,0.00050,16.29
076,00048,0.762250,0.00050,16.33
077,00054,0.761669,0.00050,16.10
078,00049,0.755039,0.00050,16.38
079,00048,0.759851,0.00050,16.19
080,00048,0.738819,0.00050,16.18
081,00049,0.718593,0.00050,16.19
082,00049,0.774092,0.00050,16.34
083,00049,0.766760,0.00050,16.36
084,00048,0.742190,0.00050,16.21
085,00048,0.783522,0.00050,16.18
086,00048,0.766670,0.00050,16.30
087,00049,0.743277,0.00050,16.16
088,00048,0.756916,0.00050,16.22
089,00049,0.750545,0.00049,16.10
090,00048,0.749530,0.00049,16.19
091,00048,0.795585,0.00050,16.17
092,00049,0.784376,0.00050,16.21
093,00049,0.752549,0.00050,16.13
094,00049,0.774990,0.00049,16.25
095,00049,0.752555,0.00049,16.15
096,00049,0.751093,0.00049,16.17
097,00049,0.779274,0.00049,16.20
098,00048,0.715036,0.00049,16.16
099,00049,0.757099,0.00049,16.17
100,00049,0.741552,0.00049,16.21
101,00000,0.000000,0.00000,25.02
