epoch,time(s),train_loss,test_loss,test_error(%)
001,00055,1.522673,0.00126,35.85
002,00055,1.240773,0.00095,27.10
003,00054,1.130295,0.00081,23.40
004,00054,1.032117,0.00073,21.21
005,00053,0.994088,0.00067,19.51
006,00054,0.980308,0.00064,19.03
007,00054,0.921931,0.00061,18.28
008,00054,0.877384,0.00058,17.21
009,00053,0.847885,0.00055,16.75
010,00054,0.870408,0.00054,16.06
011,00055,0.811970,0.00052,15.72
012,00054,0.819826,0.00051,15.46
013,00053,0.812913,0.00050,15.16
014,00054,0.833315,0.00049,14.79
015,00054,0.766442,0.00048,14.66
016,00053,0.750199,0.00047,14.26
017,00053,0.760735,0.00047,14.24
018,00054,0.737524,0.00046,14.01
019,00054,0.748573,0.00045,13.96
020,00054,0.751993,0.00044,13.74
021,00055,0.722571,0.00044,13.47
022,00048,0.736920,0.00044,13.66
023,00055,0.708471,0.00043,13.34
024,00055,0.726355,0.00042,12.99
025,00048,0.688385,0.00042,13.10
026,00054,0.730723,0.00042,12.91
027,00048,0.700744,0.00042,13.07
028,00055,0.675602,0.00041,12.43
029,00048,0.687119,0.00041,12.70
030,00048,0.677859,0.00041,12.53
031,00049,0.656475,0.00040,12.46
032,00054,0.670529,0.00040,12.32
033,00053,0.640271,0.00039,12.13
034,00049,0.664511,0.00039,12.25
035,00048,0.655140,0.00039,12.36
036,00053,0.654280,0.00039,12.04
037,00048,0.647549,0.00039,12.21
038,00048,0.640601,0.00038,12.05
039,00048,0.663464,0.00038,12.05
040,00048,0.615129,0.00038,12.13
041,00054,0.652569,0.00038,11.84
042,00054,0.649321,0.00037,11.80
043,00047,0.651605,0.00038,11.81
044,00054,0.635716,0.00037,11.54
045,00049,0.590069,0.00037,11.66
046,00053,0.615639,0.00037,11.49
047,00048,0.597234,0.00037,11.65
048,00048,0.620956,0.00037,11.69
049,00055,0.596935,0.00036,11.38
050,00054,0.612661,0.00036,11.34
051,00049,0.614848,0.00036,11.36
052,00055,0.635182,0.00036,11.30
053,00048,0.595652,0.00036,11.32
054,00049,0.608562,0.00036,11.32
055,00049,0.650324,0.00036,11.43
056,00054,0.624052,0.00036,11.27
057,00054,0.600639,0.00035,11.21
058,00053,0.586640,0.00035,11.06
059,00048,0.610034,0.00035,11.13
060,00048,0.613680,0.00035,11.17
061,00048,0.601628,0.00035,11.17
062,00048,0.618989,0.00035,11.22
063,00053,0.591322,0.00035,10.90
064,00049,0.626504,0.00035,11.11
065,00049,0.624989,0.00035,10.94
066,00048,0.614883,0.00035,10.98
067,00048,0.594174,0.00035,11.13
068,00048,0.592466,0.00035,10.99
069,00048,0.558126,0.00035,10.95
070,00048,0.632049,0.00035,11.01
071,00048,0.577838,0.00034,10.96
072,00054,0.598892,0.00034,10.89
073,00055,0.579069,0.00034,10.88
074,00048,0.594298,0.00034,10.90
075,00048,0.593406,0.00034,11.00
076,00048,0.594886,0.00034,10.93
077,00049,0.577477,0.00034,10.93
078,00054,0.589198,0.00034,10.81
079,00054,0.557253,0.00034,10.70
080,00048,0.599014,0.00034,10.85
081,00049,0.611901,0.00034,10.71
082,00054,0.565703,0.00034,10.69
083,00054,0.606021,0.00034,10.58
084,00049,0.582060,0.00034,10.69
085,00049,0.607428,0.00034,10.76
086,00049,0.576947,0.00034,10.75
087,00049,0.578873,0.00034,10.75
088,00048,0.595010,0.00034,10.77
089,00049,0.595456,0.00034,10.73
090,00049,0.599190,0.00034,10.75
091,00049,0.561833,0.00034,10.83
092,00049,0.576765,0.00034,10.81
093,00048,0.568443,0.00034,10.76
094,00048,0.580671,0.00034,10.79
095,00048,0.523293,0.00034,10.71
096,00048,0.578163,0.00034,10.77
097,00048,0.553054,0.00034,10.78
098,00049,0.592221,0.00034,10.74
099,00048,0.573345,0.00034,10.71
100,00049,0.603934,0.00034,10.75
101,00000,0.000000,0.00000,18.72
