epoch,time(s),train_loss,test_loss,test_error(%)
001,00048,1.666032,0.00135,45.52
002,00046,1.366137,0.00100,33.25
003,00048,1.157324,0.00084,27.14
004,00047,1.046164,0.00075,24.31
005,00047,1.001392,0.00069,21.80
006,00046,0.930648,0.00065,21.46
007,00046,0.890777,0.00062,19.92
008,00046,0.863940,0.00058,18.90
009,00047,0.841351,0.00057,18.29
010,00047,0.809239,0.00055,18.05
011,00046,0.799947,0.00053,17.58
012,00047,0.762693,0.00051,17.27
013,00047,0.741938,0.00050,16.67
014,00046,0.746388,0.00049,16.38
015,00046,0.681824,0.00049,15.53
016,00047,0.698993,0.00048,15.43
017,00044,0.657575,0.00048,15.74
018,00043,0.660602,0.00048,15.72
019,00045,0.671436,0.00047,15.15
020,00043,0.654336,0.00046,15.29
021,00047,0.697898,0.00045,14.94
022,00047,0.620148,0.00044,14.83
023,00047,0.612842,0.00044,14.49
024,00047,0.604462,0.00043,14.32
025,00047,0.620743,0.00043,14.23
026,00046,0.591120,0.00043,14.09
027,00042,0.581470,0.00043,14.36
028,00047,0.571386,0.00042,13.91
029,00044,0.576081,0.00041,14.32
030,00047,0.585231,0.00042,13.82
031,00046,0.569420,0.00040,13.18
032,00042,0.538463,0.00040,13.78
033,00043,0.517927,0.00040,13.57
034,00043,0.539767,0.00040,13.48
035,00044,0.534591,0.00040,13.36
036,00042,0.493395,0.00040,13.60
037,00046,0.509751,0.00040,13.10
038,00047,0.531761,0.00039,12.97
039,00046,0.492313,0.00039,12.90
040,00043,0.479143,0.00039,13.23
041,00043,0.454324,0.00039,13.09
042,00043,0.492208,0.00039,13.08
043,00044,0.476719,0.00039,13.09
044,00044,0.470977,0.00039,13.20
045,00043,0.466130,0.00039,13.21
046,00046,0.435915,0.00038,12.79
047,00042,0.449204,0.00039,13.07
048,00043,0.423648,0.00038,13.02
049,00043,0.442448,0.00038,13.18
050,00043,0.449223,0.00038,12.82
051,00042,0.432576,0.00038,13.11
052,00043,0.414762,0.00038,12.98
053,00043,0.369999,0.00039,13.00
054,00047,0.419476,0.00038,12.63
055,00043,0.408327,0.00038,13.01
056,00043,0.403759,0.00038,13.19
057,00042,0.393765,0.00038,12.96
058,00043,0.426848,0.00038,12.66
059,00043,0.400107,0.00038,12.68
060,00042,0.413331,0.00038,12.95
061,00047,0.374912,0.00038,12.58
062,00043,0.385666,0.00038,12.73
063,00047,0.370375,0.00038,12.54
064,00042,0.346119,0.00038,12.56
065,00042,0.422124,0.00038,12.82
066,00044,0.375135,0.00038,12.82
067,00043,0.331064,0.00038,12.58
068,00047,0.374457,0.00038,12.49
069,00043,0.364042,0.00038,12.77
070,00042,0.358729,0.00038,12.58
071,00046,0.365023,0.00038,12.48
072,00043,0.359446,0.00038,12.80
073,00046,0.352035,0.00038,12.40
074,00043,0.347961,0.00038,12.43
075,00043,0.347758,0.00038,12.49
076,00043,0.354100,0.00038,12.47
077,00043,0.358048,0.00038,12.40
078,00046,0.299178,0.00038,12.23
079,00042,0.340425,0.00038,12.31
080,00043,0.341363,0.00038,12.24
081,00043,0.326950,0.00038,12.26
082,00046,0.337131,0.00038,12.13
083,00043,0.335479,0.00038,12.29
084,00044,0.303173,0.00038,12.29
085,00043,0.338854,0.00038,12.30
086,00044,0.323603,0.00038,12.41
087,00043,0.362109,0.00038,12.51
088,00043,0.302470,0.00038,12.43
089,00042,0.314149,0.00038,12.22
090,00043,0.304318,0.00038,12.36
091,00042,0.301485,0.00038,12.34
092,00042,0.323933,0.00038,12.30
093,00043,0.357388,0.00038,12.38
094,00043,0.339133,0.00038,12.25
095,00042,0.325045,0.00038,12.23
096,00043,0.313137,0.00038,12.35
097,00042,0.321477,0.00038,12.39
098,00043,0.354611,0.00038,12.31
099,00043,0.340014,0.00038,12.32
100,00044,0.327397,0.00038,12.35
101,00000,0.000000,0.00000,18.09
