epoch,time(s),train_loss,test_loss,test_error(%)
001,00064,1.253022,0.00093,30.53
002,00047,1.054375,0.00076,24.52
003,00047,0.943773,0.00067,21.79
004,00047,0.918993,0.00064,20.64
005,00046,0.863060,0.00060,19.69
006,00047,0.830961,0.00058,18.75
007,00045,0.790590,0.00056,18.46
008,00046,0.784892,0.00053,17.50
009,00046,0.742149,0.00052,17.19
010,00046,0.746022,0.00051,16.95
011,00046,0.727539,0.00049,16.35
012,00045,0.734314,0.00050,16.31
013,00047,0.680902,0.00047,15.61
014,00042,0.657323,0.00047,15.70
015,00047,0.645431,0.00046,15.26
016,00046,0.640375,0.00046,14.91
017,00042,0.628169,0.00045,15.15
018,00043,0.637711,0.00045,15.17
019,00046,0.602166,0.00045,14.69
020,00047,0.596701,0.00044,14.21
021,00044,0.593922,0.00043,14.41
022,00043,0.568706,0.00043,14.38
023,00044,0.563810,0.00044,14.57
024,00042,0.587518,0.00043,14.34
025,00042,0.571198,0.00042,14.34
026,00041,0.541736,0.00043,14.22
027,00046,0.567582,0.00041,13.67
028,00043,0.573802,0.00042,13.81
029,00048,0.563093,0.00041,13.54
030,00044,0.518570,0.00041,13.54
031,00043,0.528683,0.00041,13.84
032,00043,0.522854,0.00040,13.65
033,00044,0.506691,0.00040,13.69
034,00047,0.496623,0.00040,13.48
035,00042,0.488366,0.00040,13.60
036,00043,0.485141,0.00040,13.49
037,00043,0.470038,0.00040,13.58
038,00043,0.492145,0.00040,13.57
039,00046,0.470369,0.00039,13.39
040,00045,0.443704,0.00039,13.05
041,00042,0.461676,0.00039,13.13
042,00046,0.428902,0.00039,12.89
043,00042,0.434326,0.00039,13.19
044,00042,0.418865,0.00040,13.29
045,00042,0.424872,0.00039,13.20
046,00043,0.427703,0.00039,13.14
047,00043,0.411403,0.00039,12.96
048,00042,0.434548,0.00039,12.96
049,00044,0.400064,0.00039,13.41
050,00043,0.450346,0.00038,12.94
051,00042,0.433871,0.00039,13.15
052,00041,0.398869,0.00039,12.99
053,00046,0.381752,0.00038,12.80
054,00043,0.406468,0.00039,12.86
055,00042,0.366590,0.00039,12.92
056,00047,0.395638,0.00039,12.72
057,00043,0.370762,0.00039,12.95
058,00043,0.373810,0.00039,12.79
059,00044,0.346371,0.00039,12.84
060,00042,0.357781,0.00039,12.86
061,00042,0.340860,0.00039,12.75
062,00043,0.370925,0.00039,13.08
063,00046,0.355438,0.00039,12.67
064,00045,0.382807,0.00039,12.64
065,00042,0.326913,0.00039,12.85
066,00042,0.359118,0.00039,12.75
067,00046,0.366285,0.00039,12.62
068,00043,0.357740,0.00038,12.76
069,00043,0.333850,0.00039,12.78
070,00043,0.311822,0.00039,12.65
071,00043,0.352213,0.00039,12.65
072,00046,0.303060,0.00039,12.61
073,00043,0.339189,0.00040,12.84
074,00047,0.328001,0.00039,12.53
075,00043,0.336562,0.00039,12.88
076,00043,0.312662,0.00039,12.75
077,00043,0.310630,0.00039,12.77
078,00044,0.304679,0.00039,12.54
079,00043,0.317206,0.00039,12.68
080,00042,0.318430,0.00039,12.64
081,00043,0.307140,0.00039,12.55
082,00043,0.298483,0.00040,12.71
083,00041,0.291694,0.00039,12.61
084,00041,0.308322,0.00039,12.60
085,00043,0.346697,0.00039,12.59
086,00046,0.314872,0.00039,12.52
087,00042,0.297177,0.00039,12.59
088,00042,0.309598,0.00039,12.52
089,00042,0.293750,0.00039,12.55
090,00043,0.273759,0.00039,12.57
091,00042,0.294434,0.00039,12.68
092,00044,0.297204,0.00039,12.59
093,00044,0.279265,0.00039,12.56
094,00041,0.273847,0.00039,12.55
095,00046,0.317730,0.00039,12.48
096,00042,0.314509,0.00039,12.48
097,00043,0.297864,0.00039,12.66
098,00042,0.273462,0.00039,12.48
099,00043,0.319649,0.00039,12.50
100,00043,0.278609,0.00039,12.50
101,00000,0.000000,0.00000,18.24
