epoch,time(s),train_loss,test_loss,test_error(%)
001,00044,2.783711,0.00246,66.33
002,00041,2.164837,0.00179,58.30
003,00046,1.911040,0.00159,53.95
004,00044,1.737803,0.00148,49.90
005,00043,1.683628,0.00139,47.04
006,00042,1.617906,0.00133,45.03
007,00042,1.544722,0.00127,42.14
008,00043,1.487710,0.00121,41.27
009,00042,1.460053,0.00117,39.14
010,00042,1.447659,0.00114,38.40
011,00041,1.420886,0.00111,37.45
012,00042,1.371322,0.00107,36.38
013,00041,1.345099,0.00105,35.45
014,00042,1.346553,0.00103,35.06
015,00042,1.287749,0.00102,34.36
016,00041,1.340641,0.00100,33.44
017,00040,1.264364,0.00098,32.74
018,00042,1.233439,0.00096,32.26
019,00042,1.268415,0.00096,31.38
020,00041,1.237246,0.00094,31.05
021,00042,1.266182,0.00092,30.67
022,00043,1.200795,0.00091,30.12
023,00042,1.209058,0.00090,29.93
024,00041,1.182797,0.00090,29.86
025,00044,1.178795,0.00088,29.80
026,00041,1.152260,0.00088,29.01
027,00040,1.171980,0.00087,29.38
028,00041,1.140562,0.00085,28.24
029,00042,1.174170,0.00084,27.97
030,00040,1.185013,0.00085,28.27
031,00042,1.156666,0.00084,27.79
032,00042,1.093747,0.00083,27.49
033,00042,1.107347,0.00082,27.28
034,00042,1.154146,0.00082,27.02
035,00040,1.111811,0.00081,27.20
036,00043,1.085773,0.00081,26.81
037,00042,1.107490,0.00081,26.49
038,00039,1.132548,0.00080,26.49
039,00044,1.098327,0.00080,26.25
040,00042,1.092399,0.00080,26.10
041,00040,1.052998,0.00079,26.26
042,00041,1.052672,0.00078,25.81
043,00042,1.092048,0.00078,25.58
044,00039,1.054519,0.00078,25.70
045,00039,1.047909,0.00078,25.60
046,00041,1.034532,0.00077,25.38
047,00043,1.059563,0.00077,25.33
048,00042,1.048017,0.00076,24.96
049,00040,1.054504,0.00076,25.09
050,00044,1.081091,0.00076,24.76
051,00042,1.032740,0.00076,24.72
052,00041,1.049011,0.00075,24.95
053,00041,1.016817,0.00075,24.61
054,00039,1.025323,0.00075,24.75
055,00042,1.029165,0.00075,24.64
056,00042,1.037049,0.00075,24.42
057,00042,1.026247,0.00074,24.25
058,00043,1.078039,0.00074,24.46
059,00040,1.032891,0.00074,24.27
060,00040,1.033350,0.00074,24.33
061,00042,0.996156,0.00074,24.06
062,00041,1.028154,0.00074,24.29
063,00043,0.997881,0.00073,23.84
064,00041,1.015269,0.00073,23.84
065,00041,1.042841,0.00073,24.07
066,00042,0.997918,0.00073,23.79
067,00043,0.992019,0.00073,23.66
068,00040,1.057758,0.00073,23.69
069,00040,1.040093,0.00073,23.81
070,00040,0.984458,0.00073,23.74
071,00045,1.034236,0.00073,23.52
072,00043,0.995535,0.00073,23.47
073,00041,0.990767,0.00072,23.54
074,00041,0.998150,0.00072,23.62
075,00039,0.991045,0.00072,23.50
076,00042,1.016758,0.00072,23.41
077,00039,1.031492,0.00072,23.44
078,00039,0.965621,0.00072,23.44
079,00043,0.999795,0.00072,23.39
080,00042,1.010064,0.00072,23.36
081,00040,1.007633,0.00072,23.37
082,00041,1.016681,0.00072,23.41
083,00041,0.970196,0.00072,23.50
084,00040,0.976428,0.00072,23.54
085,00043,1.015163,0.00072,23.27
086,00043,1.009623,0.00072,23.16
087,00042,1.016295,0.00072,23.14
088,00041,0.971401,0.00072,23.24
089,00039,0.981320,0.00072,23.27
090,00040,1.005286,0.00072,23.51
091,00039,0.986098,0.00072,23.38
092,00039,0.991854,0.00072,23.15
093,00039,1.004614,0.00072,23.44
094,00038,1.021842,0.00072,23.32
095,00038,0.988262,0.00072,23.33
096,00042,0.978184,0.00071,23.08
097,00040,0.994766,0.00072,23.42
098,00042,1.008851,0.00072,23.47
099,00041,1.006377,0.00072,23.39
100,00040,0.980498,0.00072,23.21
101,00000,0.000000,0.00000,30.64
