epoch,time(s),train_loss,test_loss,test_error(%)
001,00057,2.105525,0.00187,63.07
002,00055,1.928884,0.00170,55.57
003,00055,1.794742,0.00156,50.85
004,00055,1.746290,0.00147,47.90
005,00055,1.628904,0.00140,45.71
006,00056,1.578500,0.00133,43.80
007,00054,1.550266,0.00127,41.83
008,00054,1.510417,0.00121,40.25
009,00056,1.472233,0.00118,38.93
010,00054,1.422248,0.00114,37.65
011,00055,1.403550,0.00112,37.21
012,00054,1.385009,0.00109,35.73
013,00055,1.336485,0.00107,34.79
014,00054,1.309883,0.00104,34.16
015,00056,1.290787,0.00102,33.51
016,00055,1.259075,0.00101,33.06
017,00055,1.271514,0.00099,32.07
018,00055,1.275669,0.00097,31.92
019,00055,1.243409,0.00095,30.76
020,00055,1.242405,0.00094,30.39
021,00054,1.233099,0.00093,29.95
022,00055,1.187973,0.00092,29.76
023,00054,1.194772,0.00090,29.36
024,00052,1.207222,0.00091,29.61
025,00055,1.157901,0.00088,28.77
026,00054,1.146963,0.00088,28.23
027,00055,1.174329,0.00087,28.14
028,00054,1.204958,0.00086,27.98
029,00052,1.172471,0.00086,28.00
030,00054,1.142557,0.00085,27.46
031,00054,1.138942,0.00084,27.17
032,00054,1.121513,0.00084,26.95
033,00055,1.112864,0.00083,26.53
034,00051,1.103482,0.00082,26.63
035,00052,1.094261,0.00082,26.70
036,00055,1.100014,0.00081,26.24
037,00052,1.101977,0.00081,26.43
038,00052,1.103467,0.00081,26.24
039,00055,1.091450,0.00080,25.91
040,00056,1.080171,0.00080,25.84
041,00055,1.087262,0.00079,25.64
042,00054,1.063533,0.00079,25.49
043,00051,1.079972,0.00079,25.69
044,00054,1.031825,0.00078,25.27
045,00054,1.071061,0.00078,25.07
046,00052,1.049171,0.00077,25.24
047,00054,1.065138,0.00077,24.75
048,00052,1.061329,0.00077,24.83
049,00052,1.027317,0.00077,24.82
050,00054,1.027328,0.00076,24.79
051,00056,1.060787,0.00076,24.52
052,00052,1.029021,0.00076,24.76
053,00052,1.022200,0.00076,24.57
054,00056,1.065174,0.00075,24.48
055,00056,1.029737,0.00075,24.03
056,00052,1.048549,0.00075,24.23
057,00052,1.025899,0.00075,24.11
058,00055,1.027170,0.00074,23.94
059,00053,0.980909,0.00074,24.12
060,00054,0.992297,0.00074,23.92
061,00055,1.013331,0.00074,23.65
062,00052,1.023209,0.00074,23.87
063,00055,1.002337,0.00074,23.64
064,00054,1.014366,0.00074,23.60
065,00054,1.011414,0.00074,23.34
066,00052,1.062053,0.00073,23.69
067,00052,1.037416,0.00073,23.53
068,00052,1.017826,0.00073,23.42
069,00051,1.029687,0.00073,23.45
070,00052,0.991837,0.00073,23.56
071,00052,1.009979,0.00073,23.58
072,00051,0.980011,0.00073,23.46
073,00052,1.011681,0.00073,23.39
074,00053,0.991639,0.00073,23.43
075,00052,1.010396,0.00072,23.52
076,00054,0.997901,0.00072,23.04
077,00052,1.008165,0.00072,23.28
078,00052,0.985676,0.00072,23.39
079,00051,1.003819,0.00072,23.20
080,00052,1.001717,0.00072,23.46
081,00052,0.980981,0.00072,23.30
082,00052,1.008240,0.00072,23.13
083,00052,0.967386,0.00072,23.10
084,00052,1.003024,0.00072,23.25
085,00055,1.011588,0.00072,23.00
086,00054,1.019373,0.00072,23.29
087,00054,0.994272,0.00072,23.47
088,00057,1.005295,0.00072,22.99
089,00052,0.998775,0.00072,23.17
090,00052,0.987289,0.00072,23.32
091,00052,1.007676,0.00072,23.10
092,00052,0.984719,0.00072,22.99
093,00053,0.981074,0.00072,23.09
094,00052,0.994029,0.00072,23.33
095,00054,1.000986,0.00072,23.37
096,00053,0.985052,0.00072,23.13
097,00053,1.021136,0.00072,23.25
098,00051,0.972177,0.00072,23.10
099,00053,1.007250,0.00072,23.10
100,00055,0.969959,0.00071,22.88
101,00000,0.000000,0.00000,30.25
